area_type,location,bedrm,total_sqft,bath,balcony,price
Super built-up  Area,Omkar Nagar,2,1000,2,1,53
Super built-up  Area,Yelahanka,2,1035,2,1,45
Built-up  Area,Kereguddadahalli,2,950,2,1,32
Super built-up  Area,Bisuvanahalli,3,1075,2,1,36
Super built-up  Area,Whitefield,2,1040,2,1,48.5
Plot  Area,Maragondanahalli,2,720,2,1,45
Super built-up  Area,Lingadheeranahalli,3,1511,3,1,95
Built-up  Area,Silk Board,3,1300,3,1,58
Super built-up  Area,Hoodi,3,1545,3,1,68.75
Built-up  Area,Shampura,1,375,2,0,26
Super built-up  Area,Vidyaranyapura,2,1062,2,3,38
Super built-up  Area,Kada Agrahara,2,1115,2,1,40
Super built-up  Area,JP Nagar,2,1000,2,1,35
Super built-up  Area,Kambipura,2,883,2,1,45
Super built-up  Area,Sarjapur  Road,2,1195,2,1,70
Plot  Area,BHEL Layout,4,1200,3,1,165
Built-up  Area,Medahalli,1,700,1,0,41
Super built-up  Area,Vittasandra,2,1246,2,1,67
Plot  Area,8th Phase JP Nagar,4,660,4,2,90
Plot  Area,Banashankari Stage III,4,8500,4,2,145
Super built-up  Area,Kashi Nagar,4,1600,4,1,80
Super built-up  Area,Haralur Road,4,2805,5,3,154
Super built-up  Area,Begur Road,3,1584,3,,65
Plot  Area,Sector 7 HSR Layout,4,3000,5,1,275
Built-up  Area,Hosur Road,3,1175,2,2,48
Built-up  Area,"Yemlur, Old Airport Road, ",3,1595,3,2,115
Super built-up  Area,VHBCS Layout,2,1353,2,2,110
Super built-up  Area,Electronic City,3,1599,3,2,125
Super built-up  Area,Whitefield,2,1150,2,1,70
Super built-up  Area,Jakkur,4,5230,6,1,465
Super built-up  Area,KR Puram,2,1155,2,2,42.74
Built-up  Area,Ittamadu,1,1200,2,0,85
Super built-up  Area,Electronic City Phase II,2,1000,2,1,25
Super built-up  Area,Thanisandra,4,3000,4,,120
Built-up  Area,Rajiv Nagar,3,1867,3,1,160
Super built-up  Area,Ramagondanahalli,2,1251,2,1,47
Super built-up  Area,Gattahalli,2,1028,2,1,45.5
Super built-up  Area,Arekere,2,1222,2,2,45
Super built-up  Area,Bannerghatta Road,3,1170,2,1,66
Super built-up  Area,Hebbal,3,2400,4,1,245
Super built-up  Area,Ramanjaneyanagar,3,1385,2,2,48.48
Super built-up  Area,HSR Layout,2,1372,2,1,68
Super built-up  Area,Magadi Road,3,1282,2,2,49
Super built-up  Area,Mico Layout,9,5000,9,3,210
Built-up  Area,7th Block Jayanagar,5,3000,3,1,528
Super built-up  Area,Kanakpura Road,2,1135,2,1,39.73
Built-up  Area,Whitefield,3,1768,3,2,101
Built-up  Area,Byatarayanapura,3,1325,2,1,90
Super built-up  Area,Electronic City,3,1599,3,2,99
Plot  Area,Whitefield,3,1500,3,1,61.95
Plot  Area,2nd Phase JP Nagar,3,2610,3,0,499
Super built-up  Area,Uttarahalli,2,1286,2,2,63
Built-up  Area,Kammanahalli,5,2845,5,1,140
Super built-up  Area,K G Colony,3,1600,2,,50
Super built-up  Area,Hennur Road,2,1195,2,0,63.77
Super built-up  Area,Hebbal,3,3450,5,2,260
Super built-up  Area,Munnekollal,2,1102,2,2,53.67
Super built-up  Area,Yelahanka,2,1350,2,2,54
Super built-up  Area,Banashankari,3,1200,2,2,42
Plot  Area,Hosa Road,6,1300,6,0,145
Plot  Area,Herohalli,2,1800,1,1,80
Built-up  Area,Chikkabanavar,2,950,2,1,40
Super built-up  Area,Kanakpura Road,1,525,1,1,27.25
Built-up  Area,Attibele,2,656,2,1,25
Plot  Area,Marathahalli,4,1780,4,3,175
Super built-up  Area,3rd Block Hrbr Layout,2,1056,2,1,80
Super built-up  Area,Bannerghatta Road,1,595,1,1,33.32
Built-up  Area,Ittamadu,2,1080,2,2,50
Super built-up  Area,7th Phase JP Nagar,3,2225,3,1,160
Super built-up  Area,Bommasandra,2,1126,2,1,28.15
Super built-up  Area,Electronics City Phase 1,3,1490,3,1,84
Plot  Area,HRBR Layout,4,2000,4,1,300
Super built-up  Area,Sarjapur  Road,3,1550,3,3,100
Super built-up  Area,,3,1600,3,2,86
Built-up  Area,Ashwini layout,2,1160,2,1,55
Built-up  Area,Whitefield,4,4144,4,3,315
Super built-up  Area,Sarjapur  Road,3,2100,3,2,125
Super built-up  Area,Vittasandra,2,1404,2,1,69.3
Plot  Area,Sarjapur  Road,4,2230,4,3,225
Super built-up  Area,Marathalli bridge,3,1544,3,,120
Super built-up  Area,Banashankari Stage III,3,1305,2,1,58.7
Super built-up  Area,Marathahalli,2,1230,2,2,80
Plot  Area,T.C PALYA,2,1200,2,0,65
Super built-up  Area,Harlur,3,1460,3,1,73
Plot  Area,Sarjapur  Road,,1200,,,34.185
Built-up  Area,Gottigere,2,967,2,3,45
Built-up  Area,Byatarayanapura,1,540,1,1,36
Super built-up  Area,Hormavu,1,715,1,2,46
Super built-up  Area,Whitefield,3,2500,3,2,313
Super built-up  Area,Dooravani Nagar,3,1578,3,1,180
Super built-up  Area,Mysore Road,2,1020,2,1,48.95
Super built-up  Area,Jigani,2,1020,2,1,40
Super built-up  Area,Koramangala,2,1253,2,1,102
Super built-up  Area,JCR Layout,2,1180,2,2,42
Super built-up  Area,Nehru Nagar,2,961,2,2,38
Built-up  Area,Kanakapura,3,1419,3,3,75
Super built-up  Area,Harlur,3,1709,3,2,150
Plot  Area,Papareddipalya,2,1600,2,0,115
Super built-up  Area,Venkatapura,1,416,1,1,18.5
Carpet  Area,Sanjay nagar,2,1100,2,2,98
Super built-up  Area,HSR Layout,3,1430,2,1,65
Super built-up  Area,Sneha Colony,2,1260,2,2,45
Built-up  Area,RMV Extension,3,1630,3,2,85
Super built-up  Area,Sarjapur  Road,3,1249,3,2,44.71
Super built-up  Area,Kalena Agrahara,3,1450,2,3,85
Super built-up  Area,Konanakunte,3,2791,3,1,223
Super built-up  Area,Hosapalya,1,600,1,0,90
Built-up  Area,Ashwini layout,1,834,1,1,60
Plot  Area,Doddagubbi,3,1125,4,1,70
Super built-up  Area,Arekere,3,2060,3,2,140
Super built-up  Area,Malleshwaram,7,12000,7,3,2200
Built-up  Area,Gottigere,2,891,2,1,25
Super built-up  Area,Raja Rajeshwari Nagar,2,1133,2,1,49.07
Built-up  Area,Bisuvanahalli,3,1075,2,1,37
Super built-up  Area,Sector 6 HSR Layout,4,3000,5,2,260
Plot  Area,Brookefield,4,2440,5,2,425
Built-up  Area,Vidyaranyapura,2,1200,2,2,55
Super built-up  Area,Thanisandra,2,1075,2,2,45.8
Super built-up  Area,Kaggadasapura,2,1140,2,2,40
Plot  Area,Margondanahalli,5,940,4,2,150
Plot  Area,ITI Layout,6,2160,5,1,250
Super built-up  Area,Raja Rajeshwari Nagar,2,1090,2,1,42
Built-up  Area,R.T. Nagar,4,1500,4,1,70
Super built-up  Area,Whitefield,4,4104,4,2,360
Super built-up  Area,Whitefield,3,1790,3,,100
Super built-up  Area,Hebbal,3,1920,3,2,134
Built-up  Area,HRBR Layout,2,1374,2,2,95
Carpet  Area,Bannerghatta Road,3,1445,3,2,95
Super built-up  Area,Kanakapura,1,711,1,1,36
Super built-up  Area,Tumkur Road,3,1500,3,3,95
Super built-up  Area,Whitefield,3,1720,3,3,100
Super built-up  Area,Vasanthapura,3,1400,3,2,60
Built-up  Area,Kundalahalli,2,1030,2,2,49
Super built-up  Area,Mysore Road,2,1200,2,1,85
Carpet  Area,Hosahalli,3,1375,3,2,70
Plot  Area,Hegde Nagar,2,1050,1,,56
Super built-up  Area,Jalahalli,3,2250,3,2,160
Super built-up  Area,Bellandur,2,1000,2,2,50
Super built-up  Area,Jalahalli West,1,469,1,0,25
Super built-up  Area,Marathahalli,4,3800,4,3,250
Super built-up  Area,Kambipura,2,883,2,1,29
Super built-up  Area,GM Palaya,3,1820,2,3,86
Built-up  Area,Singasandra,3,1440,2,3,65
Super built-up  Area,near Ramanashree California resort,6,3600,4,1,160
Built-up  Area,Malleshwaram,4,2500,5,2,325
Super built-up  Area,Mahadevpura,2,1225,2,2,48
Plot  Area,"6th block banashankari 3rd stage, 100 feet ORR",3,4000,3,1,660
Carpet  Area,Chikkalasandra,2,875,2,3,52.8
Super built-up  Area,Jalahalli East,1,750,1,2,40
Super built-up  Area,6th Phase JP Nagar,2,1180,2,3,80
Super built-up  Area,Haralur Road,2,1194,2,2,47
Super built-up  Area,Hennur Road,3,1500,2,2,62
Super built-up  Area,Poornapragna Housing Society Layout,2,1160,2,2,52.2
Built-up  Area,Arekere,9,4125,9,,265
Super built-up  Area,Hosakerehalli,3,2378,3,1,262
Super built-up  Area,Sarjapur,2,1128,2,1,60
Super built-up  Area,Hebbal,3,1500,3,1,150
Built-up  Area,Huskur,3,1220,2,1,35.23
Super built-up  Area,Sarjapur  Road,2,1210,2,2,58
Super built-up  Area,Kanakpura Road,3,1100,2,1,58
Super built-up  Area,Bommasandra,3,1200,3,2,46
Built-up  Area,Haralur Road,4,3385,5,,260
Super built-up  Area,Nagondanahalli,3,1641,3,2,66
Super built-up  Area,Horamavu Agara,2,1200,2,1,45
Super built-up  Area,Raja Rajeshwari Nagar,2,1260,2,1,67.39
Super built-up  Area,Mahadevpura,3,1720,3,3,78
Super built-up  Area,Yelahanka,2,1120,2,0,48.13
Super built-up  Area,Yelahanka,2,1210,2,1,45.98
Built-up  Area,Indira Nagar,4,2200,4,2,200
Super built-up  Area,Bisuvanahalli,3,1075,2,1,45
Built-up  Area,Thanisandra,3,1702,3,2,130
Super built-up  Area,Shanthala Nagar,2,1630,2,2,200
Super built-up  Area,Raja Rajeshwari Nagar,2,1141,2,2,38.55
Super built-up  Area,Shantiniketan Layout,3,2072,3,2,108
Super built-up  Area,JP Nagar,5,4400,,,375
Built-up  Area,Herohalli,3,1200,2,0,70
Super built-up  Area,Teachers Colony,3,1350,3,0,77
Built-up  Area,Bettahalsoor,4,3090,4,0,445
Super built-up  Area,Srinivasa Nagar,3,1180,2,2,78.34
Built-up  Area,Yelahanka,3,35000,3,3,130
Super built-up  Area,Langford Town,2,1355,2,2,115
Plot  Area,Sulthangunta,1,600,1,0,50
Plot  Area,Hormavu,7,1200,7,,150
Super built-up  Area,Bannerghatta Road,3,1640,2,1,120
Plot  Area,Byrathi Village,5,1200,5,0,100
Super built-up  Area,Kodichikkanahalli,3,1190,2,2,57
Plot  Area,OMBR Layout,4,2400,4,2,375
Super built-up  Area,Marathahalli,2,1019,2,2,49.85
Super built-up  Area,Ambedkar Colony,3,1875,3,2,165
Super built-up  Area,Akshaya Nagar,3,1250,3,2,40
Plot  Area,Brookefield,3,1200,3,2,140
Super built-up  Area,Whitefield,2,1140,2,1,56
Super built-up  Area,Lingadheeranahalli,3,1683,3,1,109
Super built-up  Area,Kaggadasapura,3,1515,3,,83.3
Super built-up  Area,Hoodi,4,2118,4,2,111
Built-up  Area,Bannerghatta Road,4,1380,3,0,58
Super built-up  Area,Varthur Road,2,1083,2,2,61.75
Plot  Area,Anjappa Layout,2,600,2,1,55
Built-up  Area,Avalahalli,3,2300,3,3,120
Super built-up  Area,Prakruthi Nagar,2,1240,2,2,60
Super built-up  Area,Surabhi Layout,3,1750,3,1,120
Super built-up  Area,Sadaramangala,2,1230,2,,43.48
Plot  Area,Anjanapura,3,1500,3,1,139
Super built-up  Area,Abbigere,2,985,2,1,40.39
Plot  Area,Tindlu,3,1500,2,1,87
Built-up  Area,Electronic City,2,1125,2,1,32.49
Built-up  Area,Maruthi Sevanagar,2,950,2,1,44
Super built-up  Area,JP Nagar,5,4400,,,548.5
Super built-up  Area,Kothanur,3,1580,3,3,76
Plot  Area,B Narayanapura,3,1092,2,1,98.5
Built-up  Area,Electronic City Phase II,2,1090,2,1,28.34
Built-up  Area,Hennur Road,3,2264,3,1,159
Super built-up  Area,Dommasandra,3,1033,2,2,25.53
Super built-up  Area,Kammasandra,2,810,2,2,24.5
Super built-up  Area,Green Garden Layout,2,1045,2,0,45
Super built-up  Area,Hebbal,2,1337,2,1,82
Super built-up  Area,Chandapura,2,1200,2,2,32
Super built-up  Area,Koramangala,3,1580,3,2,160
Super built-up  Area,Begur Road,3,1500,2,3,54
Super built-up  Area,Whitefield,3,1640,4,2,91
Super built-up  Area,Silver Springs Layout,3,1570,3,2,62
Super built-up  Area,Gubbalala,3,1470,2,2,82
Super built-up  Area,Kengeri,2,1160,2,2,40.61
Built-up  Area,7th Phase JP Nagar,2,1050,2,1,71
Super built-up  Area,Dairy Circle,3,1855,3,1,225
Super built-up  Area,Bannerghatta Road,3,1460,2,1,90
Built-up  Area,Hulimavu,3,1823,3,2,100
Super built-up  Area,Electronic City,2,1094,2,2,42
Super built-up  Area,Budigere,2,1153,2,2,57
Built-up  Area,Hoysalanagar,3,1325,3,1,57
Plot  Area,Parappana Agrahara,4,1200,3,2,85
Built-up  Area,Jakkur,3,1590,2,2,125
Plot  Area,Jeevan bima nagar,5,1210,4,2,160
Plot  Area,Raja Rajeshwari Nagar,4,1200,4,0,220
Super built-up  Area,Narayana Nagar 1st Block,2,1202,2,1,48
Built-up  Area,Haralur Road,2,1202,2,1,53
Super built-up  Area,KSRTC Layout,2,1200,2,3,62.5
Super built-up  Area,Panathur,3,1688,3,1,118
Built-up  Area,Kaval Byrasandra,2,1020,2,1,52
Super built-up  Area,Sarjapur,2,1185,2,2,47
Super built-up  Area,Ramagondanahalli,2,1235,2,1,52.04
Super built-up  Area,Hosakerehalli,4,3205,5,1,500
Super built-up  Area,Banashankari,2,1077,2,2,37.64
Super built-up  Area,Kengeri Satellite Town,3,1415,2,3,66
Super built-up  Area,EPIP Zone,3,2330,3,2,162
Super built-up  Area,Whitefield,2,805,2,2,35
Built-up  Area,P&T Colony,1,425,1,0,20.03
Super built-up  Area,Whitefield,2,1155,2,3,59.95
Super built-up  Area,Cunningham Road,4,5270,4,3,1250
Super built-up  Area,Anekal,2,656,2,1,22
Built-up  Area,New Gurappana Palya,2,1100,2,0,48
Super built-up  Area,Mahadevpura,2,1150,2,3,52
Plot  Area,Chelekare,1,600,1,1,60
Super built-up  Area,Ambedkar Colony,2,1468,2,1,140
Plot  Area,Palanahalli,4,4300,5,2,550
Super built-up  Area,Whitefield,3,2280,4,2,126
Super built-up  Area,Hegde Nagar,2,1341,2,1,97
Super built-up  Area,Jakkur,2,1279,2,1,77
Super built-up  Area,Electronic City Phase II,4,2225,4,0,98.88
Super built-up  Area,Thanisandra,2,1185,2,2,43.51
Super built-up  Area,Vadarpalya,3,1750,3,2,85
Super built-up  Area,Kudlu,2,1152,2,1,53.5
Plot  Area,Shivanagar,5,1000,4,1,160
Super built-up  Area,Hulimavu,2,1300,2,3,36
Plot  Area,Varthur Road,4,2760,4,2,155
Super built-up  Area,5th Phase JP Nagar,2,1070,2,2,39
Super built-up  Area,Uttarahalli,2,1101,2,0,45
Super built-up  Area,V.V Puram,2,775,2,1,55
Super built-up  Area,Yeshwanthpur,1,667,1,1,36.85
Super built-up  Area,Electronic City,2,1070,2,1,55
Built-up  Area,Old Airport Road,3,1875,2,2,110
Super built-up  Area,Kundalahalli,2,735,2,1,57.99
Plot  Area,Sarjapur,5,4360,4,1,90
Super built-up  Area,Koramangala,3,1750,3,2,130
Super built-up  Area,Marathahalli,2,1215,2,1,67
Plot  Area,Sector 3 HSR Layout,9,600,9,3,190
Super built-up  Area,Vishwapriya Layout,2,820,2,1,30
Super built-up  Area,Banashankari Stage VI,2,1160,2,0,59.935
Super built-up  Area,Battarahalli,3,1779,3,2,89.61
Built-up  Area,HMT Layout,2,1105,2,2,58
Built-up  Area,Basavanagara,1,1000,2,1,93
Super built-up  Area,Whitefield,3,1650,3,2,60
Super built-up  Area,Jalahalli,2,1694,2,2,150
Super built-up  Area,Hosakerehalli,3,2376,3,1,203
Super built-up  Area,Cox Town,3,1975,3,3,150
Super built-up  Area,Kammasandra,2,674,2,1,33
Super built-up  Area,Kaggadasapura,2,1185,2,1,41
Super built-up  Area, Thanisandra,1,445,1,0,28
Built-up  Area,Mylasandra,6,900,7,,76
Super built-up  Area,HSR Layout,3,1475,3,2,75
Super built-up  Area,Gottigere,3,1618,3,3,82.5
Super built-up  Area,Koramangala,2,1120,2,0,65
Super built-up  Area,Marathahalli,4,2181,3,2,152
Plot  Area,Vidyaranyapura,4,1200,4,0,90
Plot  Area,Nagondanahalli,6,600,4,3,65
Super built-up  Area,Bannerghatta Road,3,1556,2,1,59.13
Super built-up  Area,Bannerghatta Road,2,1179,2,1,66.02
Super built-up  Area,Thanisandra,2,1296,2,2,83
Built-up  Area,Kaggadasapura,2,1275,2,2,52
Built-up  Area,Kalasipalya,7,1875,2,2,300
Super built-up  Area,Kathriguppe,3,1400,2,2,77
Super built-up  Area,Gottigere,2,1222,2,1,63
Super built-up  Area,Electronic City,2,940,2,1,41
Super built-up  Area,Thanisandra,2,1185,2,2,42.6
Super built-up  Area,Tumkur Road,3,1779,3,2,112
Super built-up  Area,Begur Road,3,1615,3,2,59.76
Super built-up  Area,JP Nagar,4,4000,,,453
Super built-up  Area,Haralur Road,2,1056,2,1,61
Super built-up  Area,7th Phase JP Nagar,2,1100,2,0,46
Built-up  Area,Arekere,2,920,2,1,40
Super built-up  Area,ITI Layout,3,1602,2,0,75
Built-up  Area,Padmanabhanagar,2,1176,2,0,62
Plot  Area,HBR Layout,4,675,3,1,59
Super built-up  Area,Richmond Town,3,1352,3,0,135
Built-up  Area,Kasavanhalli,3,1717,3,3,99
Plot  Area,4 Bedroom Farm House in Bagalur,4,10961,4,1,80
Super built-up  Area,Bhoganhalli,4,2119,4,3,111
Super built-up  Area,Vittasandra,2,1246,2,1,67.3
Super built-up  Area,Anandapura,2,1141,2,1,42.79
Built-up  Area,Hennur Road,2,1157,2,1,84
Super built-up  Area,Chandapura,2,1025,2,2,27.68
Built-up  Area,Yelahanka New Town,1,650,1,2,33
Super built-up  Area,Hebbal,2,1349,2,1,98
Super built-up  Area,Narayanapura,3,1566,3,1,83.3
Super built-up  Area,Sahakara Nagar,4,2830,3,3,195
Built-up  Area,Electronic City,3,1320,2,1,38.13
Super built-up  Area,manyata park,3,1780,3,1,84.83
Super built-up  Area,Varthur,2,1091,2,1,34.9
Super built-up  Area,Rachenahalli,4,3670,4,3,300
Built-up  Area,7th Phase JP Nagar,2,918,2,1,50.49
Super built-up  Area,Yeshwanthpur,4,1950,4,0,130
Super built-up  Area,Panathur,3,1695,3,1,90
Super built-up  Area,Yelahanka,3,1705,3,2,95
Built-up  Area,Kalyan nagar,3,1375,3,2,75
Super built-up  Area,Kanakpura Road,1,525,1,1,30
Built-up  Area,Whitefield,2,1447,2,1,83
Super built-up  Area,Thanisandra,2,1114,2,1,39
Super built-up  Area,7th Phase JP Nagar,3,1450,2,1,100
Super built-up  Area,Belathur,2,460,1,0,15
Built-up  Area,Vasanthapura,2,1022,2,2,40
Built-up  Area,Hebbal,2,1000,2,2,45
Super built-up  Area,Electronic City,2,1128,2,1,68.75
Super built-up  Area,Kanakpura Road,2,1180,2,2,57
Built-up  Area,TC Palaya,6,1000,6,1,69
Plot  Area,Nagarbhavi,2,1200,2,1,150
Super built-up  Area,Sadashiva Nagar,3,3761,3,2,660
Super built-up  Area,Kanakpura Road,2,1339,2,3,75
Super built-up  Area,Yelachenahalli,3,1400,2,3,55
Super built-up  Area,7th Phase JP Nagar,2,1040,2,1,39.52
Super built-up  Area,Kadugodi,2,1198,2,2,58
Plot  Area,Shirdi Sai Layout,4,1200,3,,95
Super built-up  Area,Sarjapur  Road,3,1691,3,2,113
Super built-up  Area,Bisuvanahalli,3,1075,3,2,36
Super built-up  Area,1st Block Jayanagar,3,1630,3,2,194
Super built-up  Area,8th Phase JP Nagar,3,1240,3,2,43.5
Super built-up  Area,Bannerghatta Road,2,1115,2,0,58.935
Super built-up  Area,Mallasandra,3,1665,3,2,86.58
Built-up  Area,Marathahalli,3,2489,3,,94
Built-up  Area,Brookefield,2,1142,2,2,70
Super built-up  Area,Kodbisanhalli,3,1976,3,1,184
Plot  Area,Sathya Sai Layout,4,5500,4,,600
Super built-up  Area,Kothannur,3,1853,3,2,82
Plot  Area,Vijayanagar,8,600,4,1,72
Super built-up  Area,Kasturi Nagar,2,1567,2,2,92
Super built-up  Area,Talaghattapura,2,1090,2,1,27.24
Plot  Area,Raja Rajeshwari Nagar,6,1200,4,2,125
Plot  Area,Indiranagar HAL 2nd Stage,4,2400,4,1,640
Super built-up  Area,Electronics City Phase 1,2,1175,2,2,51.47
Built-up  Area,Subramanyapura,2,1200,2,2,52
Built-up  Area,Kodichikkanahalli,2,995,2,1,41
Super built-up  Area,Magadi Road,2,884,2,1,41.1
Plot  Area,Vishwanatha Nagenahalli,5,900,3,2,80
Built-up  Area,Yeshwanthpur,2,1170,2,2,57
Super built-up  Area,KR Puram,2,1225,2,1,46.55
Super built-up  Area,Electronic City,2,1342,2,1,73.3
Built-up  Area,Uttarahalli,2,1345,2,1,67
Built-up  Area,Kodigehaali,3,1320,3,0,65
Super built-up  Area,Singapura Village,2,1100,2,,45
Super built-up  Area,Raja Rajeshwari Nagar,2,1140,2,1,49.39
Super built-up  Area,Battarahalli,2,1300,2,1,50
Super built-up  Area,Hosa Road,3,1652,3,2,85
Super built-up  Area,Thigalarapalya,3,2072,4,2,142
Built-up  Area,Arekere,3,1740,2,,95
Super built-up  Area,Electronic City,3,1360,2,1,71
Super built-up  Area,Hosur Road,3,1145,2,2,60
Built-up  Area,Uttarahalli,3,1540,2,0,40
Super built-up  Area,Sarjapur  Road,2,1278,2,2,95
Super built-up  Area,Electronic City Phase II,1,630,1,1,40
Super built-up  Area,Kanakpura Road,3,1100,3,2,58
Plot  Area,Bendiganahalli,3,1200,3,0,95
Built-up  Area,Hosakerehalli Layout,7,2500,6,2,115
Super built-up  Area,Chandapura,1,520,1,0,15.135
Super built-up  Area,Chandapura,2,1015,2,2,25.88
Built-up  Area,Hosur Road,5,3300,5,2,240
Plot  Area,Basaveshwara Nagar,5,4500,5,1,415
Super built-up  Area,Gunjur,3,1356,2,3,66
Super built-up  Area,Hennagara,2,823,2,1,28
Plot  Area,TC Palaya,3,1200,2,0,66
Built-up  Area,Ramamurthy Nagar,2,1050,2,0,37
Super built-up  Area,Ferrar Nagar,2,1180,2,1,69
Super built-up  Area,Whitefield,2,1116,2,3,51.91
Super built-up  Area,7th Phase JP Nagar,2,1070,2,1,42.79
Super built-up  Area,Varthur,2,1385,2,3,80
Plot  Area,Varthur,1,1000,1,1,70
Built-up  Area,Whitefield,3,1897,3,2,130
Super built-up  Area,Magadi Road,2,1005,2,1,55.78
Super built-up  Area,Green Glen Layout,3,1575,3,2,125
Super built-up  Area,Subramanyapura,2,975,2,1,65
Super built-up  Area,Hennur Road,3,1904,3,2,120
Super built-up  Area,Kengeri Satellite Town,1,930,1,1,30
Super built-up  Area,Kanakpura Road,1,525,1,1,26
Super built-up  Area,BAGUR,1,686,1,1,17
Plot  Area,Electronic City Phase II,2,2400,3,1,150
Plot  Area,8th block Koramangala,2,1410,1,0,233
Built-up  Area,Sarjapur  Road,3,2238,3,1,140
Super built-up  Area,Harlur,2,1174,2,1,69
Built-up  Area,Thubarahalli,4,3800,4,3,239
Super built-up  Area,Whitefield,3,2225,2,1,125
Super built-up  Area,M.G Road,2,1250,2,0,200
Super built-up  Area,Jigani,2,918,2,2,52
Super built-up  Area,Mahadevpura,2,1250,2,3,52
Super built-up  Area,Sarjapur  Road,3,1800,3,,110
Built-up  Area,Marathahalli,2,1170,2,3,53
Super built-up  Area,Byatarayanapura,1,1300,1,0,200
Built-up  Area,Bannerghatta Road,2,793,2,1,45
Super built-up  Area,Jakkur,3,1710,3,2,107
Super built-up  Area,Kambipura,3,1082,2,1,57.5
Super built-up  Area,Naganathapura,2,1001,2,2,33.03
Built-up  Area,Srinivasa Nagar,4,1500,4,,180
Super built-up  Area,Yelahanka,3,1590,2,1,54
Super built-up  Area,Basavanagara,3,2400,2,0,80
Super built-up  Area,Horamavu Banaswadi,3,1554,3,2,55
Super built-up  Area,Thanisandra,2,1000,2,0,43.415
Super built-up  Area,Bellandur,5,4239,5,2,423
Built-up  Area,Konanakunte,2,884,1,0,58
Super built-up  Area,Hosa Road,2,1045,2,1,98.89
Super built-up  Area,Marathahalli,2,1019,2,2,49.86
Super built-up  Area,Ambedkar Nagar,3,1935,4,2,130
Super built-up  Area,Uttarahalli,3,1135,2,2,39.73
Super built-up  Area,Lakshminarayana Pura,3,1680,3,2,150
Super built-up  Area,Hebbal,4,2470,5,2,247
Super built-up  Area,1st Phase JP Nagar,4,2825,4,3,250
Super built-up  Area,Hosakerehalli,3,2480,3,1,330
Plot  Area,5th Phase JP Nagar,9,1260,11,,290
Plot  Area,Ramamurthy Nagar,5,1800,4,3,187
Built-up  Area,Kasavanhalli,3,1799,3,3,90
Super built-up  Area,Whitefield,4,3606,,,304
Built-up  Area,Attibele,1,400,1,1,11
Built-up  Area,Kundalahalli,2,1047,2,1,82
Super built-up  Area,Kaverappa Layout,2,1282,2,2,87
Super built-up  Area,NGR Layout,2,1020,2,1,45.9
Plot  Area,Kammanahalli,4,1080,3,1,155
Super built-up  Area,Whitefield,2,1495,2,1,79.5
Built-up  Area,Kasavanhalli,4,3260,4,1,240
Super built-up  Area,Divya Unnathi Layout,3,1611,2,2,64.44
Super built-up  Area,Koramangala,4,3500,5,2,425
Built-up  Area,Vasantha Vallabha Nagar,3,1500,2,2,95
Super built-up  Area,Sahakara Nagar,3,1500,2,2,95
Plot  Area,Yelahanka,4,3206,5,,270
Super built-up  Area,Uttarahalli,3,1540,3,0,50
Super built-up  Area,Hosa Road,3,1639,3,1,80
Plot  Area,Marathahalli,4,700,4,,72
Super built-up  Area,Raja Rajeshwari Nagar,2,1303,2,2,55.79
Super built-up  Area,Koramangala,2,1005,1,1,110
